ma1,ma2,ma3,ma4,ma5,ma6
9.75,10.78125,11.8125,6.1875,4.0625,12.40625
9.90625,11.5,11.9375,5.65625,4.09375,11.90625
10.0625,10.625,11.46875,6.1875,4.21875,12.4375
9.84375,11.125,11.8125,5.53125,4.21875,12.46875
9.875,10.8125,11.875,6.03125,4.1875,12.21875
10.0625,11.0,12.0,5.75,3.75,12.4375
9.65625,10.8125,12.0625,5.5625,4.375,12.53125
9.90625,11.125,11.9375,5.5625,4.125,12.34375
10.09375,10.53125,12.125,6.0625,4.1875,12.0
10.0625,10.8125,11.5625,5.90625,4.28125,12.375
9.5625,10.71875,11.78125,5.96875,4.28125,12.6875
9.75,10.875,11.96875,6.3125,3.90625,12.1875
9.71875,10.90625,12.65625,5.71875,4.03125,11.96875
10.09375,11.15625,11.90625,5.4375,4.1875,12.21875
10.09375,10.59375,12.0625,5.6875,4.1875,12.375
9.84375,10.15625,12.125,6.34375,4.09375,12.4375
9.5625,10.90625,12.125,5.8125,4.1875,12.40625
9.71875,11.125,11.9375,6.0,4.09375,12.125
9.8125,10.96875,11.8125,6.03125,4.28125,12.09375
9.40625,10.9375,12.0625,5.75,4.375,12.46875
9.78125,10.65625,11.625,6.09375,4.46875,12.375
9.53125,10.9375,11.78125,6.25,4.21875,12.28125
9.9375,10.625,12.15625,5.5,4.1875,12.59375
10.03125,10.96875,12.375,5.78125,3.78125,12.0625
9.90625,10.96875,12.15625,5.75,4.0625,12.15625
10.0625,10.78125,12.53125,5.59375,4.125,11.90625
9.75,10.625,12.0625,6.34375,4.4375,11.78125
9.21875,10.625,11.84375,6.375,4.4375,12.5
9.78125,10.40625,11.625,5.96875,4.15625,13.0625
9.90625,10.3125,12.21875,5.90625,4.25,12.40625
10.21875,11.28125,12.0,5.75,4.34375,11.40625
9.78125,10.75,11.96875,6.15625,4.21875,12.125
10.09375,11.03125,12.15625,5.6875,3.96875,12.0625
9.21875,10.9375,12.5,6.25,4.375,11.71875
10.40625,11.1875,11.59375,5.59375,3.96875,12.25
9.9375,10.78125,11.9375,6.0625,4.28125,12.0
9.5,10.75,11.875,5.9375,4.09375,12.84375
9.875,11.0,11.71875,5.75,4.3125,12.34375
9.8125,11.0625,12.0,5.59375,4.34375,12.1875
9.75,10.96875,11.53125,6.03125,4.21875,12.5
10.03125,11.125,11.6875,5.75,4.40625,12.0
9.15625,11.03125,11.90625,6.125,4.125,12.65625
10.0625,10.75,11.375,5.625,4.3125,12.875
9.75,11.0625,11.53125,6.09375,4.15625,12.40625
9.71875,10.875,11.84375,5.71875,4.4375,12.40625
9.65625,10.96875,12.125,5.84375,4.21875,12.1875
9.6875,10.90625,12.03125,5.53125,4.34375,12.5
9.65625,10.625,12.03125,5.71875,4.375,12.59375
9.875,10.78125,12.15625,6.125,4.0625,12.0
9.53125,11.1875,11.6875,5.84375,4.3125,12.4375
10.21875,10.28125,12.09375,6.0,4.0,12.40625
9.84375,11.3125,11.625,5.8125,4.28125,12.125
9.59375,11.03125,11.78125,5.78125,4.375,12.4375
9.75,10.34375,11.9375,6.0625,4.4375,12.46875
9.53125,10.65625,12.03125,6.09375,4.0625,12.625
9.8125,11.0625,12.0,5.5,4.09375,12.53125
10.09375,10.65625,11.9375,5.8125,4.21875,12.28125
9.4375,10.625,12.3125,6.0625,4.3125,12.25
10.09375,11.1875,12.21875,5.90625,4.09375,11.5
9.75,11.40625,12.34375,6.03125,4.0625,11.40625
9.625,11.21875,11.9375,5.96875,4.25,12.0
9.78125,11.125,11.875,5.8125,4.15625,12.25
10.03125,10.84375,11.5625,6.0,4.3125,12.25
9.90625,10.71875,11.53125,6.09375,4.25,12.5
9.6875,11.03125,11.84375,5.4375,4.1875,12.8125
9.9375,10.90625,11.8125,6.0,4.3125,12.03125
9.59375,11.03125,11.90625,5.90625,4.5,12.0625
10.15625,10.875,11.625,6.0625,4.1875,12.09375
9.625,10.90625,12.5,5.59375,4.3125,12.0625
9.46875,10.6875,11.84375,6.0,4.25,12.75
9.90625,10.96875,11.84375,5.375,4.09375,12.8125
9.625,11.125,12.375,5.65625,3.625,12.59375
9.9375,10.625,12.25,5.5625,4.40625,12.21875
9.375,10.8125,11.8125,5.71875,4.46875,12.8125
9.6875,11.28125,12.0,5.875,4.09375,12.0625
9.625,10.5,11.53125,6.1875,4.15625,13.0
9.65625,11.1875,11.875,6.28125,4.03125,11.96875
10.03125,10.6875,12.25,6.0625,4.40625,11.5625
10.03125,11.0625,11.84375,5.6875,4.1875,12.1875
9.46875,10.8125,12.4375,5.875,4.125,12.28125
9.25,11.15625,12.25,6.1875,4.125,12.03125
9.9375,10.84375,11.96875,6.15625,3.96875,12.125
10.09375,10.34375,11.46875,6.15625,4.1875,12.75
10.21875,11.0625,11.75,5.46875,3.9375,12.5625
9.375,11.34375,11.625,6.0625,4.125,12.46875
9.875,10.6875,12.15625,6.125,4.03125,12.125
9.90625,10.9375,12.03125,5.5,4.09375,12.53125
10.28125,10.78125,11.9375,5.75,4.0625,12.1875
9.96875,10.34375,12.34375,6.0,4.3125,12.03125
9.78125,11.0625,11.84375,5.84375,4.28125,12.1875
9.625,10.84375,11.6875,5.8125,4.46875,12.5625
10.21875,11.09375,11.71875,5.40625,4.25,12.3125
9.84375,10.6875,11.875,5.9375,4.3125,12.34375
10.625,10.4375,11.75,5.84375,4.21875,12.125
9.5,10.5625,11.625,6.03125,4.4375,12.84375
9.5625,11.0,12.375,5.8125,4.15625,12.09375
10.40625,11.28125,11.5,5.4375,4.25,12.125
10.53125,10.21875,11.625,5.90625,4.09375,12.625
9.46875,11.15625,12.09375,5.9375,4.25,12.09375
9.5,10.78125,11.78125,5.71875,4.28125,12.9375
10.40625,10.84375,12.0625,5.625,4.03125,12.03125
9.34375,10.6875,12.40625,5.90625,4.25,12.40625
